epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9181,0.43304,2.77797,1.07089,0.00333,1,0.5522,0.54539,0.15737,3.32509,0.85296,0.00013336,0.00013336,0.00013336
2,106.786,0.40304,1.80363,1.0351,0.93801,0.49839,0.83215,0.80987,0.27477,2.81901,0.92174,0.000280584,0.000280584,0.000280584
3,157.345,0.33476,1.13834,0.94628,1,0.63106,0.98578,0.95496,0.24965,2.69264,0.899,0.000424838,0.000424838,0.000424838
4,209.405,0.37807,1.0267,0.97447,0.99795,0.69227,0.98268,0.94354,0.31564,2.7736,0.93987,0.000566122,0.000566122,0.000566122
5,261.851,0.36565,0.94617,0.93721,0.96615,0.95549,0.98731,0.88987,0.42534,2.01749,1.02126,0.000704434,0.000704434,0.000704434
6,314.18,0.40455,0.96778,0.9891,0.83407,0.97763,0.99211,0.93791,0.37309,2.04341,0.98302,0.000839776,0.000839776,0.000839776
7,366.022,0.38424,0.95119,0.99261,0.986,0.86111,0.96579,0.87949,0.39238,1.89733,1.05795,0.000972148,0.000972148,0.000972148
8,418.925,0.41613,0.94274,0.98877,0.97873,0.96778,0.995,0.9134,0.40271,1.70592,1.03549,0.00110155,0.00110155,0.00110155
9,470.963,0.38813,0.85454,0.96905,0.72758,0.98279,0.99079,0.86008,0.5234,2.18073,1.21733,0.00122798,0.00122798,0.00122798
10,520.879,0.42054,0.86323,0.97262,0.88955,0.8224,0.96622,0.84094,0.42421,2.01147,1.04404,0.00135144,0.00135144,0.00135144
11,579.792,0.39642,0.77716,0.95634,0.77864,0.91921,0.94049,0.84437,0.39741,1.89999,1.01008,0.00147193,0.00147193,0.00147193
12,631.993,0.4132,0.75629,0.9343,0.79644,0.92228,0.91718,0.814,0.39716,1.84221,1.00604,0.00148546,0.00148546,0.00148546
13,686.236,0.41857,0.84742,0.99489,0.98614,0.9658,0.98875,0.89847,0.38641,1.37782,0.98792,0.00146896,0.00146896,0.00146896
14,740.921,0.41821,0.79618,0.96651,0.95065,0.97103,0.98884,0.88864,0.41958,1.63336,1.00103,0.00145246,0.00145246,0.00145246
15,804.126,0.39173,0.74241,0.96206,0.89999,0.8859,0.94844,0.89776,0.32433,1.31525,0.93093,0.00143595,0.00143595,0.00143595
16,878.285,0.40077,0.68469,0.97201,0.61407,0.75434,0.76709,0.73275,0.29255,2.00942,0.917,0.00141945,0.00141945,0.00141945
17,949.861,0.40801,0.70036,0.95991,0.91492,0.91634,0.9645,0.85895,0.41015,1.34807,1.0122,0.00140295,0.00140295,0.00140295
18,1014.37,0.35625,0.69237,0.9347,0.96359,0.96898,0.99129,0.87275,0.40041,1.26982,1.06299,0.00138644,0.00138644,0.00138644
19,1084.9,0.37654,0.65453,0.94497,0.98667,0.96556,0.99368,0.93766,0.33057,0.92665,0.94696,0.00136994,0.00136994,0.00136994
20,1147.83,0.36237,0.59691,0.97651,0.98537,0.94444,0.97584,0.92382,0.32648,0.95499,0.94566,0.00135344,0.00135344,0.00135344
21,1202.14,0.36491,0.60207,0.9371,0.9831,0.94444,0.97756,0.92421,0.36316,0.86267,0.94515,0.00133693,0.00133693,0.00133693
22,1256.22,0.32231,0.55889,0.89797,0.99053,0.97055,0.99368,0.91927,0.31403,0.79857,0.93847,0.00132043,0.00132043,0.00132043
23,1309.67,0.36474,0.55572,0.94542,0.99383,0.97222,0.97025,0.92488,0.31444,0.79511,0.93883,0.00130393,0.00130393,0.00130393
24,1361.35,0.33764,0.55522,0.93196,0.99355,0.97222,0.99368,0.94452,0.28842,0.74314,0.91483,0.00128742,0.00128742,0.00128742
25,1414.13,0.3781,0.56537,0.94244,0.99159,1,0.995,0.93596,0.30782,0.75203,0.91958,0.00127092,0.00127092,0.00127092
26,1467.64,0.34808,0.53446,0.95326,0.99632,0.99186,0.995,0.97085,0.28664,0.77564,0.9162,0.00125442,0.00125442,0.00125442
27,1518.63,0.33508,0.52568,0.93767,0.98037,1,0.995,0.96091,0.26664,0.74374,0.91492,0.00123791,0.00123791,0.00123791
28,1572.24,0.34245,0.49605,0.94792,0.99553,1,0.995,0.97601,0.23756,0.63715,0.88698,0.00122141,0.00122141,0.00122141
29,1626.08,0.32755,0.46424,0.94291,0.9692,1,0.99368,0.96996,0.25209,0.66137,0.88099,0.00120491,0.00120491,0.00120491
30,1678.95,0.34209,0.48308,0.93156,0.98199,0.99793,0.995,0.97139,0.24036,0.58692,0.87001,0.0011884,0.0011884,0.0011884
31,1729.83,0.34798,0.46751,0.95461,0.99457,1,0.995,0.97313,0.23722,0.58741,0.86647,0.0011719,0.0011719,0.0011719
32,1788.04,0.35883,0.46493,0.94354,0.9959,1,0.995,0.97096,0.25973,0.56193,0.89175,0.0011554,0.0011554,0.0011554
33,1838.16,0.32916,0.43911,0.93683,0.99639,1,0.995,0.97087,0.27105,0.56263,0.89221,0.00113889,0.00113889,0.00113889
34,1888.61,0.30659,0.45016,0.91659,0.99565,1,0.995,0.96647,0.21087,0.51325,0.8636,0.00112239,0.00112239,0.00112239
35,1937.65,0.32079,0.43091,0.9239,0.99372,1,0.995,0.95673,0.24338,0.49985,0.87557,0.00110589,0.00110589,0.00110589
